	shannon	simpson	observed_species	PD_whole_tree
2239_s	0.27204120244	0.0785388188624	8.0	2.041565
2242_s	1.30131586754	0.423976543281	13.0	3.63038
2250_s	0.156643187255	0.0345846992	6.0	1.954575
2254_s	1.28738359037	0.375000909	8.0	1.868345
2261_s	1.32124659221	0.472794796057	8.0	1.672055
2262_s	0.0906826471261	0.0192339286	5.0	1.61965
2265_s	0.574528858767	0.178881481571	14.0	3.911715
2273_s	0.555496902078	0.157255034626	13.0	3.585675
2274_s	0.272047076031	0.0715278540358	6.0	1.583835
2277_s	0.0300636668424	0.00469301723387	14.0	2.716475
2278_s	0.135550454803	0.0340433287087	9.0	2.265285
2286_s	0.0360197630534	0.00648906273618	4.0	1.536525
2287_s	0.366847305567	0.0855888834	8.0	2.202385
2290_s	0.623820544169	0.2026361564	12.0	2.281285
2291_s	0.64731000003	0.200801927985	5.0	1.65522
2292_s	0.622976900491	0.174196284648	5.0	1.77565
2300_s	0.0304074032772	0.00557927357331	3.0	1.47111
2301_s	0.767767609743	0.240598538747	8.0	1.98635
2304_s	0.737126570435	0.245574739091	6.0	1.67385
2324_s	0.567121551774	0.208176587461	8.0	2.3404
2325_s	0.586424597439	0.214449461506	8.0	1.962045
2328_s	1.28318879664	0.475650570316	5.0	1.73615
2350_s	0.988934780221	0.3864284248	5.0	1.73615
2351_s	1.81826151999	0.636765786621	9.0	1.84843
2354_s	0.00161012858777	0.0001999856	4.0	1.542565
2355_s	0.222123682321	0.0578289505732	10.0	2.801065
2386_s	0.027269370863	0.0054649848	2.0	1.18934
2387_s	0.370218015168	0.100486082317	9.0	1.958135
2390_s	0.522223395801	0.1704400506	7.0	1.83725
2398_s	0.00683328652107	0.000939724794402	6.0	2.19085
2399_s	1.50768494067	0.6228056304	6.0	1.62103
2409_s	0.760477136883	0.250777643328	8.0	2.118845
2413_s	0.112408080508	0.0283806956111	4.0	1.282475
2415_s	0.654997476368	0.272780034433	4.0	1.63354
2416_s	1.00173965348	0.256791976382	13.0	3.969845
2519_s	0.99826463148	0.370041692397	8.0	2.06395
2524_s	1.31920869981	0.5477802222	4.0	1.843855
2525_s	0.785168152736	0.3436227444	8.0	3.28127
2528_s	0.641566154724	0.242517258613	9.0	2.98873
2583_s	0.831703226127	0.278395007072	7.0	1.95303
2587_s	0.37407170742	0.104173267831	6.0	1.73917
2590_s	0.393921403216	0.09896012	7.0	1.97281
2609_s	1.07262169569	0.50797397827	7.0	1.473075
2612_s	0.162910654517	0.035122405436	6.0	1.578405
2659_s	1.3224720851	0.375261144	9.0	2.961375
2662_s	0.069306116042	0.0126375911584	6.0	2.65674
2697_s	1.33539566177	0.506236299404	5.0	1.62351
2700_s	0.158952078021	0.0378434024643	8.0	2.569595
2780_s	1.09814871055	0.363115434014	9.0	1.87611
2781_s	1.22411301258	0.527030375922	10.0	3.26512
2783_s	1.1232230321	0.397093575089	5.0	1.77765
2784_s	0.152792054061	0.0383921418521	6.0	1.396035
2803_s	0.744659748332	0.299023642643	9.0	2.122535
2807_s	0.298846352383	0.0806047810963	10.0	1.48678
2810_s	1.50214127581	0.613374565737	13.0	3.298655
2834_s	0.0133998612145	0.0022180006	3.0	1.120095
2836_s	0.116133034164	0.0266357048832	5.0	1.352395
2839_s	0.748359437018	0.239769608184	11.0	2.638485
2876_s	0.0345996382622	0.0053516580957	9.0	2.241315
2879_s	1.4900101433	0.556682173501	9.0	2.563805
2908_s	0.12503475846	0.0243529153651	8.0	2.505795
2909_s	1.42650707364	0.401155446251	9.0	3.019495
2913_s	0.298913963903	0.0712734542	8.0	2.90746
2928_s	1.3919276866	0.564117275289	7.0	2.161805
2929_s	1.7728125592	0.616970202145	9.0	2.72824
2932_s	0.86716136229	0.3751497798	8.0	1.970045
2953_s	0.448281782702	0.1340813888	5.0	1.70975
2954_s	0.207189078049	0.0503334122	4.0	1.337515
2955_s	1.10074970112	0.404950464369	11.0	2.12699
2967_s	1.08081456106	0.436499214172	8.0	2.536545
2968_s	1.39668490176	0.5113244694	6.0	2.468685
2969_s	0.765784461719	0.243813276158	12.0	2.250025
2972_s	0.0341504375653	0.00585130793691	5.0	1.5954
3_s	1.16676499671	0.418182720874	6.0	2.112835
3014_s	1.33210587433	0.360733472	10.0	2.496455
3015_s	1.6033582715	0.632733654357	9.0	1.939195
3019_s	0.13681596646	0.0277848605453	6.0	1.810955
3022_s	1.41693905248	0.5685921536	5.0	2.12564
3023_s	1.01937421657	0.490777355038	4.0	1.56647
3056_s	1.5927648588	0.6418914714	7.0	2.43247
3057_s	0.887524226312	0.276023347698	12.0	3.142725
3060_s	1.71292225182	0.59533576992	11.0	3.585835
3061_s	0.0980275962758	0.0198490667547	10.0	2.88884
3098_s	0.0369503900372	0.0066048726	4.0	1.542565
3099_s	1.29749550887	0.456088693124	12.0	3.224595
3102_s	2.54313178809	0.783073408177	11.0	3.06665
3109_s	0.0763112195426	0.0129712808817	12.0	2.166065
3112_s	1.3670984993	0.46371064524	8.0	2.901505
3115_s	0.492026541315	0.159344702543	8.0	2.456655
3124_s	0.254896536772	0.0676971245785	8.0	1.634415
3125_s	1.44238943431	0.561994433286	6.0	1.83759
3126_s	1.04457811924	0.296576192792	8.0	2.400075
3129_s	1.49383859165	0.541526766881	6.0	2.04496
3137_s	0.168519897614	0.0383754848	5.0	1.82265
3138_s	0.79716174386	0.3368522546	5.0	1.472705
3141_s	1.62487070189	0.624916852773	8.0	2.383505
3174_s	1.15628652517	0.427806828481	5.0	1.480815
3175_s	1.45002475497	0.5296346922	15.0	3.72824
3178_s	0.00933459363118	0.00137937898744	4.0	1.55554
3186_s	1.57476711573	0.660006174078	4.0	1.45148
3187_s	2.05543163362	0.7097135776	13.0	3.54745
3190_s	0.576961049784	0.155028141947	6.0	2.483275
3278_s	0.662118560986	0.2594262876	7.0	1.883405
3279_s	1.12564477176	0.511208170862	9.0	2.647955
3282_s	1.5165876659	0.521223034913	9.0	3.25346
4_s	1.58504883187	0.615502768625	5.0	1.59118
Negative_s	0.898285007837	0.298448835947	8.0	1.46753
Positive_s	0.51688454619	0.188774465777	9.0	2.70199
