	shannon	simpson	observed_species	PD_whole_tree
2053_s	1.27813746536	0.446503313264	4.0	1.476285
1549_s	0.0445123728027	0.00783195202933	5.0	1.5608
2035_s	0.0452306367679	0.0079975874	7.0	2.01226
1560_s	0.047056885157	0.00862741837434	4.0	1.167535
1672_s	0.0482180740973	0.009223361274	4.0	1.175425
1620_s	0.124399252761	0.028419512804	4.0	1.491815
1428_s	0.010513213922	0.00181998029034	2.0	1.01547
3014_s	1.67209024022	0.485127812747	9.0	2.1935
1509_s	0.256509092869	0.0668209433458	7.0	1.860255
1671_s	0.0565059003756	0.0102767036283	5.0	1.15039
1369_s	0.691187994548	0.224997484443	6.0	1.607605
1511_s	1.17877123932	0.497042794647	5.0	1.28577
1459_s	1.07838315405	0.494653965073	8.0	2.287845
3109_s	0.0523145561826	0.00868507931293	9.0	2.569915
1314_s	0.00765650627293	0.00116017960808	3.0	1.443905
3186_s	0.983166074264	0.488377066701	2.0	1.172395
1_s	0.0822131269839	0.0172258486968	5.0	1.756975
2928_s	0.715843121222	0.316355548012	2.0	1.07086
2416_s	0.251451378361	0.0635005144836	4.0	2.37565
1258_s	1.67232667084	0.645567566384	8.0	1.691545
2265_s	0.494877415955	0.163989840762	8.0	2.477595
2304_s	0.080815807262	0.019806703123	2.0	1.01547
1763_s	0.254241529291	0.0710262509037	5.0	2.49856
2519_s	0.286212331007	0.0698406762003	6.0	1.692395
2262_s	0.0311245351307	0.00548911	4.0	1.788185
1807_s	1.07487306865	0.495975689799	8.0	2.0634
1539_s	1.23190415453	0.4189441518	7.0	2.339925
1286_s	0.413537874966	0.120373619081	5.0	1.77879
2204_s	0.68031630037	0.189029791169	6.0	1.657235
1317_s	0.472013062669	0.163610707528	3.0	1.26929
2172_s	0.156015382509	0.0408276852101	4.0	1.65684
1725_s	2.21579666873	0.731588823722	13.0	3.400855
1409_s	1.72385775632	0.6378065809	6.0	1.949425
3056_s	0.101924937669	0.0213594695985	4.0	2.03338
2415_s	0.07689368277	0.0173895650352	3.0	1.086925
1762_s	0.672617493857	0.263032021816	7.0	2.24319
1564_s	0.999864704472	0.499906223217	2.0	1.25002
1912_s	1.91731232035	0.721894463668	4.0	2.11582
1675_s	0.29058948947	0.0896188983614	3.0	1.26929
3137_s	0.119190613351	0.0287651000242	3.0	1.356815
1238_s	0.345658110448	0.102583921057	7.0	2.30092
1522_s	0.098461848393	0.0220591474192	4.0	1.377365
1481_s	0.64097424261	0.180299803759	5.0	1.55554
3175_s	2.28405036359	0.718813623304	9.0	2.82309
1368_s	0.400697558756	0.119656480155	7.0	2.37841
1874_s	0.581221341307	0.197899686101	6.0	1.57389
1844_s	0.347949789136	0.0886320092915	5.0	1.57838
1358_s	2.52164063634	0.816326530612	6.0	1.894725
2807_s	0.109370530248	0.0228241749614	6.0	1.08837
2078_s	1.13142172802	0.453373604928	4.0	1.909325
3125_s	1.16147885056	0.413447227374	6.0	2.092505
1573_s	0.365376882799	0.097532429615	4.0	1.48857
2350_s	0.196842342546	0.0591203734704	2.0	1.07086
1454_s	1.03400168153	0.451920044547	4.0	1.13554
2386_s	0.392736454259	0.1427170488	2.0	1.01547
2291_s	0.0533222982374	0.0120372418024	2.0	1.01547
1733_s	0.0438553765489	0.0085513714	3.0	1.15794
3282_s	0.558353895525	0.177428728941	5.0	2.439215
2929_s	1.36958364823	0.496521203293	5.0	1.512775
2968_s	0.749509749845	0.336682561586	2.0	1.41264
1806_s	0.446767175866	0.155200920478	3.0	1.323235
2528_s	0.332560840936	0.0869544234897	6.0	1.756605
2590_s	0.918295834054	0.444444444444	2.0	1.25002
2213_s	0.737124826185	0.213136606506	7.0	1.87952
1497_s	1.73995878921	0.610344129206	7.0	2.187565
3129_s	0.96795952805	0.405485159009	3.0	1.40347
1758_s	0.918063370847	0.444289477838	2.0	1.141325
2399_s	0.0298056743121	0.00547328544709	3.0	1.03474
2908_s	1.25292230633	0.500646620794	3.0	1.63938
1826_s	0.638352506474	0.233619251119	4.0	1.806135
1599_s	1.15004537323	0.457463272598	5.0	1.42188
1538_s	0.849165909142	0.336004113484	5.0	2.017605
3112_s	1.34536575372	0.507863580426	6.0	2.281995
1996_s	0.831012112562	0.246875760722	5.0	2.19585
1737_s	1.21410832116	0.447305661037	5.0	1.76339
1269_s	0.0360229941693	0.00757112	2.0	0.49065
1229_s	0.541961692905	0.154147207876	7.0	1.94147
1588_s	-0	0.0	1.0	0.96825
2583_s	0.357574767222	0.111574481168	3.0	1.29724
2967_s	0.319399393831	0.0820950563448	4.0	1.51838
2192_s	0.776254668811	0.208939961775	7.0	1.828755
2524_s	0.558617576997	0.226836728839	2.0	1.25002
1863_s	1.02528510652	0.440186197475	6.0	1.78231
2328_s	0.137119323567	0.037728621404	2.0	1.07086
1239_s	0.234346151565	0.061705120199	5.0	1.45161
1244_s	0.145706829272	0.0334085715959	4.0	1.337515
2839_s	0.92915190486	0.325682363258	6.0	2.316425
1253_s	1.38439389985	0.478801141089	6.0	2.24389
1406_s	1.05387675447	0.483237835327	3.0	1.497545
1313_s	1.16698193962	0.384573850563	6.0	1.739325
1328_s	1.71829081935	0.593102905245	6.0	1.817935
1241_s	1.37123945764	0.560145802466	3.0	1.489905
2783_s	-0	0.0	1.0	0.96825
3174_s	1.00482134688	0.392308417267	4.0	1.283065
1281_s	1.31495311077	0.392509505585	9.0	1.75513
1843_s	0.940819331872	0.339415036187	10.0	3.135865
2210_s	1.37151931381	0.560287059749	3.0	1.490375
